time,heading,gps_heading,speeed,gspeed,gear,headAcc
1684585893.430691,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.4501996,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.4705286,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.490259,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.5101464,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.5304592,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.5501235,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.5701997,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.5903172,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.6097531,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.6305768,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.6502929,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.6698406,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.6903672,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.710159,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.72997,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.7506113,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.7701292,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.7905543,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.8099523,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.8301306,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.8498466,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.8701956,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.8901215,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.9101796,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.9301226,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.950581,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.9706721,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585893.9900668,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.0100496,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.0305855,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.0500288,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.070527,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.0906954,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.1106591,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.129985,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.1498306,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.169855,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.1897988,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.209586,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.2297568,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.2502756,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.2700474,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.29006,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.3101053,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.330187,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.3506153,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.370109,228.95469999999997,228.95469999999997,0.0,0.0144,2,18000000
1684585894.3904483,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.4107494,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.4298604,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.4500248,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.4701085,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.4901776,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.5101447,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.5301821,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.5500493,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.5704951,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.590165,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.610407,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.630778,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.6507208,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.670183,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.6906989,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.7101903,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.7307673,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.7502933,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.7701592,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.7907288,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.8099482,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
1684585894.8304977,228.95469999999997,228.95469999999997,0.0,0.0324,2,18000000
