time,imu_heading,gspeed
1684817856.9511483,146.2484130474695,0.005
1684817856.9676976,146.2484130474695,0.005
1684817856.9877043,146.24822603798847,0.005
1684817857.0077624,146.2484130474695,0.005
1684817857.0282853,146.24822603798847,0.005
1684817857.0483813,146.24822603798847,0.005
1684817857.0681484,146.24822603798847,0.005
1684817857.0881455,146.24822603798847,0.005
1684817857.108545,146.24822603798847,0.005
1684817857.1276069,146.24822603798847,0.005
1684817857.1478815,146.24822603798847,0.005
1684817857.1686733,146.24822603798847,0.005
1684817857.188241,146.24822603798847,0.005
1684817857.2077742,146.24822603798847,0.005
1684817857.2279892,146.24822603798847,0.005
1684817857.247508,146.24822603798847,0.005
1684817857.2677057,146.24822603798847,0.005
1684817857.288705,146.2480402999836,0.005
1684817857.3081348,146.2480402999836,0.005
1684817857.3281093,146.2480402999836,0.005
1684817857.348832,146.24787541076657,0.005
1684817857.3679943,146.2480402999836,0.005
1684817857.3886461,146.2480402999836,0.005
1684817857.4079626,146.2480402999836,0.005
1684817857.4280055,146.2480402999836,0.005
1684817857.4486208,146.2480402999836,0.005
1684817857.4679642,146.2480402999836,0.005
1684817857.4876144,146.24822603798847,0.005
1684817857.5072942,146.24822603798847,0.005
1684817857.5277405,146.24822603798847,0.005
1684817857.5476742,146.2480402999836,0.005
1684817857.5683706,146.2480402999836,0.005
1684817857.5882444,146.2480402999836,0.005
1684817857.6086442,146.2480402999836,0.005
1684817857.6280782,146.2480402999836,0.005
1684817857.647483,146.2480402999836,0.005
1684817857.6685944,146.23892278313107,0.005
1684817857.6880424,146.22999301677942,0.005
1684817857.7079751,146.21145264569603,0.005
1684817857.727936,146.2112868699973,0.005
1684817857.747698,146.2112868699973,0.005
1684817857.767774,146.2112868699973,0.005
1684817857.7885368,146.20217400520218,0.006
1684817857.808657,146.20217400520218,0.006
1684817857.8283315,146.20217400520218,0.006
1684817857.8483608,146.20217400520218,0.006
1684817857.8677232,146.19306308040748,0.006
1684817857.888701,146.19306308040748,0.006
1684817857.9087625,146.19306308040748,0.006
1684817857.927919,146.19306308040748,0.006
1684817857.9484289,146.19306308040748,0.006
1684817857.967913,146.19306308040748,0.006
1684817857.987799,146.19306308040748,0.006
