time,imu_heading,gspeed
1684817561.2388167,0.0,0.0
1684817561.2592082,145.5171360357147,0.0
1684817561.2829149,145.51719406426193,0.0
1684817561.299177,145.51719406426193,0.0
1684817561.318843,145.51719406426193,0.0
1684817561.3390257,145.5171360357147,0.0
1684817561.3589976,145.5171360357147,0.0
1684817561.378534,145.5080028720262,0.0
1684817561.3987148,145.5080028720262,0.0
1684817561.418749,145.5080028720262,0.0
1684817561.4391987,145.5080028720262,0.0
1684817561.4591792,145.5080028720262,0.0
1684817561.47873,145.5080028720262,0.0
1684817561.499699,145.5080028720262,0.0
1684817561.5192175,145.5080028720262,0.0
1684817561.538679,145.5080028720262,0.0
1684817561.5588925,145.5080028720262,0.0
1684817561.578976,145.5080028720262,0.0
1684817561.5990298,145.5080028720262,0.0
1684817561.6191838,145.5080028720262,0.0
1684817561.639103,145.5080028720262,0.0
1684817561.6592746,145.5080028720262,0.0
1684817561.6792784,145.5080028720262,0.0
1684817561.698871,145.5080028720262,0.0
1684817561.7192066,145.50794704655527,0.0
1684817561.739222,145.50794704655527,0.002
1684817561.7589128,145.50794704655527,0.002
1684817561.7792106,145.50794704655527,0.002
1684817561.7992446,145.49903592872286,0.002
1684817561.8188736,145.49909273722557,0.002
1684817561.8388937,145.49903592872286,0.002
1684817561.8587258,145.49903592872286,0.002
1684817561.8787506,145.49892635829636,0.002
1684817561.8993125,145.49892635829636,0.002
1684817561.9187787,145.49892635829636,0.002
1684817561.9386327,145.49892635829636,0.002
1684817561.9590745,145.49892635829636,0.002
1684817561.978756,145.49892635829636,0.002
1684817561.9989016,145.49903592872286,0.002
1684817562.0192857,145.49903592872286,0.002
1684817562.03942,145.49909273722557,0.002
1684817562.058916,145.49903592872286,0.002
1684817562.0785785,145.49903592872286,0.002
1684817562.0987625,145.49903592872286,0.002
1684817562.118478,145.49903592872286,0.002
1684817562.1393523,145.49903592872286,0.002
1684817562.1594043,145.49903592872286,0.002
1684817562.1793423,145.49903592872286,0.002
1684817562.1989622,145.49903592872286,0.002
1684817562.2201543,145.49903592872286,0.002
1684817562.2391622,145.49903592872286,0.002
1684817562.2588658,145.49903592872286,0.002
1684817562.2793157,145.49903592872286,0.002
1684817562.29909,145.49903592872286,0.002
1684817562.3191822,145.4989804180854,0.002
1684817562.339686,145.49908904468802,0.002
1684817562.3589087,145.49908904468802,0.002
1684817562.3789487,145.49908904468802,0.002
1684817562.3991902,145.49908904468802,0.002
1684817562.418817,145.48046741056362,0.002
1684817562.4395807,145.48046741056362,0.002
1684817562.4594247,145.48046741056362,0.002
1684817562.4791954,145.48052397069938,0.002
1684817562.4991913,145.47150598087825,0.002
1684817562.5187964,145.47150598087825,0.002
1684817562.5385442,145.47150598087825,0.002
1684817562.5587783,145.4713964320529,0.002
1684817562.5787745,145.4713407775029,0.002
1684817562.5993128,145.4713407775029,0.002
1684817562.6192253,145.4713407775029,0.002
1684817562.6390517,145.47123217288436,0.002
1684817562.659196,145.4622161444558,0.002
1684817562.6802819,145.46227089381273,0.002
1684817562.6992238,145.46243741080156,0.002
1684817562.7188675,145.45342338851677,0.005
1684817562.7392886,145.45331294392145,0.005
1684817562.7592108,145.45331294392145,0.005
1684817562.7784295,145.43474564683962,0.005
1684817562.7985423,145.43474564683962,0.005
1684817562.8185632,145.43479859939856,0.005
1684817562.8396258,145.43474146223994,0.005
1684817562.8592088,145.42573015324643,0.005
1684817562.8787768,145.42589775175617,0.005
1684817562.8992321,145.42606853749004,0.005
1684817562.919009,145.41717055319117,0.005
1684817562.9394288,145.41717055319117,0.005
1684817562.9592724,145.41717055319117,0.005
1684817562.9790204,145.41717055319117,0.005
1684817562.9991107,145.41705921070024,0.005
1684817563.018718,145.41705921070024,0.005
1684817563.0386713,145.4168884105506,0.005
1684817563.0587432,145.40720979152024,0.005
1684817563.0789282,145.3981490785242,0.005
1684817563.0991685,145.3981490785242,0.005
1684817563.1192472,145.39831904429928,0.005
1684817563.1388974,145.3981490785242,0.005
1684817563.1589787,145.39831904429928,0.005
1684817563.1792884,145.38931249875517,0.005
1684817563.1988645,145.38942381852536,0.005
1684817563.2191248,145.38942381852536,0.005
1684817563.2390232,145.3893632718181,0.005
1684817563.2587314,145.389252894965,0.005
1684817563.278766,145.389252894965,0.005
1684817563.2985168,145.38930402663962,0.005
1684817563.3188019,145.38930402663962,0.005
1684817563.3391972,145.3891945927136,0.005
1684817563.3590548,145.3891945927136,0.005
1684817563.379057,145.389252894965,0.005
1684817563.4003003,145.389252894965,0.005
1684817563.4190109,145.389252894965,0.005
1684817563.4391708,145.389252894965,0.005
1684817563.4592094,145.38024826462993,0.005
1684817563.479037,145.38030790692056,0.005
1684817563.498895,145.38024826462993,0.005
1684817563.5185268,145.38035861753835,0.005
1684817563.538316,145.38024826462993,0.005
1684817563.5587993,145.38018992403286,0.005
1684817563.579054,145.38029933421868,0.005
1684817563.598995,145.38029933421868,0.005
1684817563.6194057,145.38029933421868,0.005
1684817563.6391447,145.38024135260784,0.005
1684817563.658834,145.38029933421868,0.005
1684817563.6792123,145.38029933421868,0.005
1684817563.6989822,145.38035861753835,0.005
1684817563.7191865,145.38035861753835,0.005
1684817563.739221,145.38029933421868,0.005
1684817563.7589457,145.38029933421868,0.005
1684817563.778813,145.38029933421868,0.005
1684817563.798353,145.38029933421868,0.005
1684817563.818749,145.37123857578416,0.005
1684817563.8391619,145.37113013186442,0.005
1684817563.8590996,145.3614996122682,0.005
1684817563.8791373,145.36166616847711,0.005
1684817563.8992643,145.36166616847711,0.005
1684817563.9187627,145.36166616847711,0.005
1684817563.9391065,145.36166616847711,0.005
1684817563.9596293,145.36166616847711,0.005
1684817563.9787998,145.36166616847711,0.005
1684817563.9991903,145.36166616847711,0.005
1684817564.0187216,145.36166616847711,0.005
1684817564.0387285,145.36166616847711,0.005
1684817564.0587723,145.36166616847711,0.005
1684817564.0789323,145.36166616847711,0.005
1684817564.0985968,145.36160808134625,0.005
1684817564.1190422,145.36160808134625,0.005
1684817564.138797,145.36155129687364,0.005
1684817564.158489,145.3616588234739,0.005
1684817564.1792815,145.35271455917317,0.005
1684817564.1984544,145.34377362740102,0.005
1684817564.2191095,145.34377362740102,0.005
1684817564.238923,145.34377362740102,0.005
1684817564.2583828,145.34372372875094,0.005
1684817564.278365,145.34372372875094,0.005
1684817564.2985196,145.34366426279055,0.005
1684817564.3185794,145.34360609977247,0.005
1684817564.3393497,145.3434976777884,0.005
1684817564.358932,145.3434976777884,0.005
1684817564.3793051,145.3434976777884,0.005
1684817564.3992288,145.34360609977247,0.005
1684817564.4188523,145.32496871368312,0.005
1684817564.4391127,145.32496871368312,0.005
1684817564.4593892,145.32502698226386,0.005
1684817564.4789257,145.32508655471128,0.005
