time,heading,gps_heading,speeed,gspeed,gear
1684583243.6715665,63.300177156034295,63.300177156034295,0.0,0.0144,0
1684583243.6913283,63.300177156034295,63.300177156034295,0.0,0.0144,0
1684583243.7117126,63.300177156034295,63.300177156034295,0.0,0.0144,0
1684583243.7320538,63.300177156034295,63.300177156034295,0.0,0.0144,0
1684583243.7517765,63.299865664984765,63.299865664984765,0.0,0.0144,0
1684583243.7718656,63.299865664984765,63.299865664984765,0.0,0.0144,0
1684583243.7923443,63.299865664984765,63.299865664984765,0.0,0.0144,0
1684583243.8117058,63.299865664984765,63.299865664984765,0.0,0.0144,0
1684583243.8314776,63.299865664984765,63.299865664984765,0.0,0.0144,0
1684583243.8514807,63.299865664984765,63.299865664984765,0.0,0.0144,0
1684583243.8715062,63.299865664984765,63.299865664984765,0.0,0.0144,0
1684583243.8913114,63.2999797571392,63.2999797571392,0.0,0.0144,0
1684583243.911496,63.300177156034295,63.300177156034295,0.0,0.0144,0
1684583243.931769,63.300177156034295,63.300177156034295,0.0,0.0144,0
1684583243.9521089,63.300062020711124,63.300062020711124,0.0,0.0144,0
1684583243.971331,63.300062020711124,63.300062020711124,0.0,0.0144,0
1684583243.9917912,63.299865664984765,63.299865664984765,0.0,0.0144,0
1684583244.0121603,63.299865664984765,63.299865664984765,0.0,0.0144,0
1684583244.0313923,63.299752514416326,63.299752514416326,0.0,0.0144,0
1684583244.052168,63.299865664984765,63.299865664984765,0.0,0.0144,0
1684583244.0717375,63.299752514416326,63.299752514416326,0.0,0.0144,0
1684583244.0914726,63.299865664984765,63.299865664984765,0.0,0.0144,0
1684583244.111713,63.2999797571392,63.2999797571392,0.0,0.0144,0
1684583244.1315722,63.2999797571392,63.2999797571392,0.0,0.0144,0
1684583244.151569,63.2999797571392,63.2999797571392,0.0,0.0144,0
1684583244.1715488,63.2999797571392,63.2999797571392,0.0,0.0144,0
1684583244.191258,63.293070937090675,63.293070937090675,0.0,0.0144,0
1684583244.2117612,63.293070937090675,63.293070937090675,0.0,0.0144,0
1684583244.2317598,63.293070937090675,63.293070937090675,0.0,0.0144,0
1684583244.2513995,63.2999797571392,63.2999797571392,0.0,0.0144,0
1684583244.2720442,63.2999797571392,63.2999797571392,0.0,0.0144,0
1684583244.2919292,63.2999797571392,63.2999797571392,0.0,0.0144,0
1684583244.3116825,63.2999797571392,63.2999797571392,0.0,0.0144,0
1684583244.3317494,63.2999797571392,63.2999797571392,0.0,0.0144,0
1684583244.3515074,63.2999797571392,63.2999797571392,0.0,0.0144,0
1684583244.3715997,63.293070937090675,63.293070937090675,0.0,0.0144,0
1684583244.392158,63.293070937090675,63.293070937090675,0.0,0.0144,0
1684583244.4114056,63.293070937090675,63.293070937090675,0.0,0.0144,0
1684583244.431742,63.293070937090675,63.293070937090675,0.0,0.0144,0
1684583244.4522445,63.293070937090675,63.293070937090675,0.0,0.0144,0
1684583244.4716027,63.29318700799121,63.29318700799121,0.0,0.0144,0
1684583244.4912782,63.29298745993145,63.29298745993145,0.0,0.0144,0
1684583244.511737,63.29287243248638,63.29287243248638,0.0,0.0144,0
1684583244.5312698,63.29287243248638,63.29287243248638,0.0,0.0144,0
1684583244.551454,63.29287243248638,63.29287243248638,0.0,0.0144,0
1684583244.5718,63.29287243248638,63.29287243248638,0.0,0.0144,0
1684583244.5916758,63.29298745993145,63.29298745993145,0.0,0.0144,0
1684583244.6116636,63.29298745993145,63.29298745993145,0.0,0.0144,0
1684583244.631495,63.29318700799121,63.29318700799121,0.0,0.0144,0
1684583244.651223,63.29318700799121,63.29318700799121,0.0,0.0144,0
1684583244.671941,63.29318700799121,63.29318700799121,0.0,0.0144,0
1684583244.6914215,63.29318700799121,63.29318700799121,0.0,0.0144,0
1684583244.7114136,63.29318700799121,63.29318700799121,0.0,0.0144,0
1684583244.7315433,63.29318700799121,63.29318700799121,0.0,0.0144,0
1684583244.7508132,63.29298745993145,63.29298745993145,0.0,0.0144,0
1684583244.7713623,63.29298745993145,63.29298745993145,0.0,0.0144,0
1684583244.7912152,63.29287243248638,63.29287243248638,0.0,0.0144,0
1684583244.811002,63.29287243248638,63.29287243248638,0.0,0.0144,0
1684583244.832256,63.29287243248638,63.29287243248638,0.0,0.0144,0
1684583244.8515549,63.29298745993145,63.29298745993145,0.0,0.0144,0
1684583244.8715594,63.29298745993145,63.29298745993145,0.0,0.0144,0
1684583244.892229,63.29298745993145,63.29298745993145,0.0,0.0144,0
1684583244.911534,63.29318700799121,63.29318700799121,0.0,0.0144,0
1684583244.931634,63.29318700799121,63.29318700799121,0.0,0.0144,0
1684583244.9521618,63.29318700799121,63.29318700799121,0.0,0.0144,0
1684583244.971525,63.293070937090675,63.293070937090675,0.0,0.0144,0
1684583244.9921188,63.29287243248638,63.29287243248638,0.0,0.0144,0
1684583245.011748,63.29287243248638,63.29287243248638,0.0,0.0144,0
1684583245.0314922,63.293070937090675,63.293070937090675,0.0,0.0144,0
1684583245.0520654,63.29275834718655,63.29275834718655,0.0,0.0144,0
1684583245.0721262,63.29287243248638,63.29287243248638,0.0,0.0144,0
1684583245.0921514,63.293070937090675,63.293070937090675,0.0,0.0144,0
1684583245.1117384,63.293070937090675,63.293070937090675,0.0,0.0144,0
1684583245.1314485,63.29318700799121,63.29318700799121,0.0,0.0144,0
1684583245.1515398,63.29318700799121,63.29318700799121,0.0,0.0252,0
1684583245.1718009,63.29318700799121,63.29318700799121,0.0,0.0252,0
1684583245.191395,63.29318700799121,63.29318700799121,0.0,0.0252,0
