time,heading,gps_heading,speeed,gspeed,gear
1684578968.4438262,143.52869724237084,143.52869724237084,0.0,0.0,0
1684578968.4631813,143.52869724237084,143.52869724237084,0.0,0.0,0
1684578968.4838145,143.5289993257592,143.5289993257592,0.0,0.0,0
1684578968.503399,143.52884563186652,143.52884563186652,0.0,0.0,0
1684578968.523179,143.52869724237084,143.52869724237084,0.0,0.0,0
1684578968.5437622,143.52869724237084,143.52869724237084,0.0,0.0,0
1684578968.5632799,143.52869724237084,143.52869724237084,0.0,0.0,0
1684578968.5835562,143.52869724237084,143.52869724237084,0.0,0.0,0
1684578968.6041899,143.52869724237084,143.52869724237084,0.0,0.0,0
1684578968.6238942,143.52869724237084,143.52869724237084,0.0,0.0,0
1684578968.6441445,143.52869724237084,143.52869724237084,0.0,0.0,0
1684578968.6629167,143.52869724237084,143.52869724237084,0.0,0.0,0
1684578968.684167,143.52884563186652,143.52884563186652,0.0,0.0,0
1684578968.703187,143.52884563186652,143.52884563186652,0.0,0.0,0
1684578968.7233543,143.52884563186652,143.52884563186652,0.0,0.0,0
1684578968.743564,143.52884563186652,143.52884563186652,0.0,0.0,0
1684578968.7635746,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578968.7835443,143.52884563186652,143.52884563186652,0.0,0.0,0
1684578968.803649,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578968.8235705,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578968.8434255,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578968.863717,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578968.8835337,143.52854583027778,143.52854583027778,0.0,0.0,0
1684578968.9036973,143.52854583027778,143.52854583027778,0.0,0.0,0
1684578968.9242063,143.52854583027778,143.52854583027778,0.0,0.0,0
1684578968.943272,143.52854583027778,143.52854583027778,0.0,0.0,0
1684578968.9640539,143.52854583027778,143.52854583027778,0.0,0.0,0
1684578968.983982,143.52854583027778,143.52854583027778,0.0,0.0,0
1684578969.0037422,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578969.0234613,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578969.0436468,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578969.0634594,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578969.0841784,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578969.1040695,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578969.1237028,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578969.1442757,143.52854583027778,143.52854583027778,0.0,0.0,0
1684578969.164012,143.52854583027778,143.52854583027778,0.0,0.0,0
1684578969.1833432,143.52854583027778,143.52854583027778,0.0,0.0,0
1684578969.203205,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578969.2236102,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578969.2435389,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578969.2638896,143.5286932986992,143.5286932986992,0.0,0.0,0
1684578969.284107,143.5374465544695,143.5374465544695,0.0,0.0,0
1684578969.3036516,143.5374465544695,143.5374465544695,0.0,0.0,0
