time,gps_heading,gspeed
1684814278.1697404,0.0,0.0
1684814278.1899476,0.0,0.0
1684814278.2094262,0.0,0.0
1684814278.2302637,0.0,0.0
1684814278.2495763,0.0,0.005
1684814278.269831,0.0,0.005
1684814278.2894552,0.0,0.005
1684814278.3099763,0.0,0.005
1684814278.3297818,0.0,0.005
1684814278.3497958,0.0,0.005
1684814278.3699512,0.0,0.005
1684814278.389787,0.0,0.005
1684814278.4101877,0.0,0.005
1684814278.429743,0.0,0.005
1684814278.449792,0.0,0.005
1684814278.4704745,0.0,0.005
1684814278.4896698,0.0,0.005
1684814278.5105503,0.0,0.005
1684814278.5306737,0.0,0.005
1684814278.5493646,0.0,0.005
1684814278.5701334,0.0,0.005
1684814278.5902743,0.0,0.005
1684814278.6098762,0.0,0.005
1684814278.6304324,0.0,0.005
1684814278.6500132,0.0,0.005
1684814278.669644,0.0,0.005
1684814278.6903093,0.0,0.005
1684814278.709435,0.0,0.005
1684814278.7298663,0.0,0.005
1684814278.7499664,0.0,0.005
1684814278.769468,0.0,0.005
1684814278.7902093,0.0,0.005
1684814278.8103218,0.0,0.005
1684814278.8301826,0.0,0.005
1684814278.8495731,0.0,0.005
1684814278.8698268,0.0,0.005
1684814278.8903413,0.0,0.005
1684814278.9104104,0.0,0.005
1684814278.9300547,0.0,0.005
1684814278.9497955,0.0,0.005
1684814278.9708037,0.0,0.005
1684814278.9896815,0.0,0.005
1684814279.0100074,0.0,0.005
1684814279.0304444,0.0,0.005
1684814279.0500817,0.0,0.005
1684814279.0707326,0.0,0.005
1684814279.0899315,0.0,0.005
1684814279.1100242,0.0,0.005
1684814279.1304,0.0,0.005
1684814279.1496947,0.0,0.005
1684814279.1704962,0.0,0.005
1684814279.1904597,0.0,0.005
1684814279.2100334,0.0,0.005
1684814279.2316864,0.0,0.005
1684814279.2496922,0.0,0.005
1684814279.2701235,0.0,0.002
1684814279.2898858,0.0,0.002
1684814279.309681,0.0,0.002
1684814279.3296232,0.0,0.002
1684814279.3506515,0.0,0.002
1684814279.3699007,0.0,0.002
1684814279.3896894,0.0,0.002
1684814279.4108894,0.0,0.002
1684814279.4299068,0.0,0.002
1684814279.4501703,0.0,0.002
1684814279.4697661,0.0,0.002
1684814279.4893496,0.0,0.002
1684814279.5094073,0.0,0.002
1684814279.5297894,0.0,0.002
1684814279.5505614,0.0,0.002
1684814279.5694897,0.0,0.002
1684814279.5895078,0.0,0.002
1684814279.609488,0.0,0.002
1684814279.6290946,0.0,0.002
1684814279.6494367,0.0,0.002
1684814279.6704266,0.0,0.002
1684814279.6900206,0.0,0.002
1684814279.7098258,0.0,0.002
1684814279.7305734,0.0,0.002
1684814279.7498283,0.0,0.002
1684814279.7697988,0.0,0.002
1684814279.7905397,0.0,0.002
1684814279.8097591,0.0,0.002
1684814279.8300805,0.0,0.002
1684814279.8501089,0.0,0.002
1684814279.8700032,0.0,0.002
1684814279.8904033,0.0,0.002
1684814279.910186,0.0,0.002
1684814279.9297974,0.0,0.002
1684814279.9499786,0.0,0.002
1684814279.9698389,0.0,0.002
1684814279.989306,0.0,0.002
1684814280.0092044,0.0,0.002
1684814280.0302072,0.0,0.002
1684814280.0500915,0.0,0.002
1684814280.069826,0.0,0.002
1684814280.0899158,0.0,0.002
1684814280.1097674,0.0,0.002
1684814280.129766,0.0,0.002
1684814280.1500897,0.0,0.002
1684814280.1701412,0.0,0.002
1684814280.1901436,0.0,0.002
1684814280.2103047,0.0,0.002
1684814280.229703,0.0,0.002
1684814280.2496002,0.0,0.001
1684814280.2697108,0.0,0.001
1684814280.2894773,0.0,0.001
1684814280.3098829,0.0,0.001
1684814280.3300393,0.0,0.001
1684814280.349395,0.0,0.001
1684814280.3691382,0.0,0.001
1684814280.3895326,0.0,0.001
1684814280.4094486,0.0,0.001
1684814280.4295492,0.0,0.001
1684814280.4499078,0.0,0.001
1684814280.4706502,0.0,0.001
1684814280.4904327,0.0,0.001
1684814280.510371,0.0,0.001
1684814280.5300088,0.0,0.001
1684814280.5501473,0.0,0.001
1684814280.5696688,0.0,0.001
1684814280.5903342,0.0,0.001
1684814280.6098287,0.0,0.001
1684814280.6298761,0.0,0.001
1684814280.649407,0.0,0.001
1684814280.6696596,0.0,0.001
1684814280.6897137,0.0,0.001
1684814280.7097564,0.0,0.001
1684814280.729761,0.0,0.001
1684814280.7510283,0.0,0.001
1684814280.7698064,0.0,0.001
1684814280.7895787,0.0,0.001
1684814280.80987,0.0,0.001
1684814280.8303168,0.0,0.001
1684814280.850025,0.0,0.001
1684814280.8692691,0.0,0.001
1684814280.8907073,0.0,0.001
1684814280.9097025,0.0,0.001
1684814280.9300642,0.0,0.001
1684814280.9493625,0.0,0.001
1684814280.970083,0.0,0.001
1684814280.989854,0.0,0.001
1684814281.0102508,0.0,0.001
1684814281.0295486,0.0,0.001
1684814281.0499446,0.0,0.001
1684814281.0706553,0.0,0.001
1684814281.0899723,0.0,0.001
1684814281.109879,0.0,0.001
1684814281.1301215,0.0,0.001
1684814281.1499357,0.0,0.001
1684814281.169455,0.0,0.001
1684814281.190712,0.0,0.001
1684814281.2093794,0.0,0.001
1684814281.2298381,0.0,0.001
1684814281.2497149,0.0,0.001
1684814281.2699258,0.0,0.002
1684814281.2898626,0.0,0.002
1684814281.310038,0.0,0.002
1684814281.3294356,0.0,0.002
1684814281.349613,0.0,0.002
1684814281.3695602,0.0,0.002
1684814281.3901215,0.0,0.002
1684814281.4097943,0.0,0.002
1684814281.4311593,0.0,0.002
1684814281.4495592,0.0,0.002
1684814281.4697306,0.0,0.002
1684814281.4898458,0.0,0.002
1684814281.509528,0.0,0.002
1684814281.5300384,0.0,0.002
1684814281.549651,0.0,0.002
1684814281.5696614,0.0,0.002
1684814281.5898604,0.0,0.002
1684814281.6096263,0.0,0.002
1684814281.6294153,0.0,0.002
1684814281.6497555,0.0,0.002
1684814281.669676,0.0,0.002
1684814281.6898227,0.0,0.002
1684814281.7101905,0.0,0.002
1684814281.7296345,0.0,0.002
1684814281.7498283,0.0,0.002
1684814281.770487,0.0,0.002
1684814281.7905362,0.0,0.002
1684814281.8095927,0.0,0.002
1684814281.8294935,0.0,0.002
1684814281.8493433,0.0,0.002
1684814281.8698442,0.0,0.002
1684814281.889629,0.0,0.002
1684814281.9100773,0.0,0.002
1684814281.9297574,0.0,0.002
1684814281.9494894,0.0,0.002
1684814281.9698281,0.0,0.002
1684814281.9900246,0.0,0.002
1684814282.0103161,0.0,0.002
1684814282.0300362,0.0,0.002
1684814282.0494545,0.0,0.002
1684814282.0701303,0.0,0.002
1684814282.090236,0.0,0.002
1684814282.1097023,0.0,0.002
1684814282.1305473,0.0,0.002
1684814282.1497972,0.0,0.002
1684814282.1700425,0.0,0.002
1684814282.1896577,0.0,0.002
1684814282.2105138,0.0,0.002
1684814282.2300875,0.0,0.002
1684814282.2505536,0.0,0.002
1684814282.2704134,0.0,0.001
1684814282.2903266,0.0,0.001
1684814282.3105314,0.0,0.001
1684814282.3299046,0.0,0.001
1684814282.3494284,0.0,0.001
1684814282.3696017,0.0,0.001
1684814282.3893151,0.0,0.001
1684814282.409573,0.0,0.001
1684814282.4304366,0.0,0.001
1684814282.449891,0.0,0.001
1684814282.469713,0.0,0.001
1684814282.4899077,0.0,0.001
1684814282.5095744,0.0,0.001
1684814282.5299299,0.0,0.001
1684814282.550048,0.0,0.001
1684814282.5697632,0.0,0.001
1684814282.5898414,0.0,0.001
1684814282.609866,0.0,0.001
1684814282.6299074,0.0,0.001
1684814282.6498811,0.0,0.001
1684814282.6705625,0.0,0.001
1684814282.6897013,0.0,0.001
1684814282.7103868,0.0,0.001
1684814282.7298703,0.0,0.001
1684814282.7497783,0.0,0.001
1684814282.770284,0.0,0.001
1684814282.7898092,0.0,0.001
1684814282.810389,0.0,0.001
1684814282.8304825,0.0,0.001
1684814282.8497796,0.0,0.001
1684814282.870369,0.0,0.001
1684814282.8897884,0.0,0.001
1684814282.9091644,0.0,0.001
1684814282.930285,0.0,0.001
1684814282.949784,0.0,0.001
1684814282.9704235,0.0,0.001
1684814282.9899094,0.0,0.001
1684814283.009763,0.0,0.001
1684814283.0298645,0.0,0.001
1684814283.049835,0.0,0.001
1684814283.0699065,0.0,0.001
1684814283.0897222,0.0,0.001
1684814283.109447,0.0,0.001
1684814283.13038,0.0,0.001
1684814283.150238,0.0,0.001
1684814283.169824,0.0,0.001
1684814283.1905086,0.0,0.001
1684814283.2100139,0.0,0.001
1684814283.2295973,0.0,0.001
1684814283.249805,0.0,0.001
1684814283.2696633,0.0,0.012
1684814283.2896802,0.0,0.012
1684814283.309723,0.0,0.012
1684814283.329439,0.0,0.012
1684814283.3499122,0.0,0.012
1684814283.3700264,0.0,0.012
1684814283.3894749,0.0,0.012
1684814283.4100459,0.0,0.012
1684814283.4298987,0.0,0.012
1684814283.449488,0.0,0.012
1684814283.4702857,0.0,0.012
1684814283.4896984,0.0,0.012
1684814283.5097454,0.0,0.012
1684814283.5304575,0.0,0.012
1684814283.5500364,0.0,0.012
1684814283.5703776,0.0,0.012
1684814283.5908742,0.0,0.012
1684814283.609948,0.0,0.012
1684814283.6307886,0.0,0.012
1684814283.6504774,0.0,0.012
1684814283.6700945,0.0,0.012
1684814283.6904795,0.0,0.012
1684814283.709819,0.0,0.012
1684814283.730422,0.0,0.012
1684814283.7509494,0.0,0.012
1684814283.7697544,0.0,0.012
1684814283.7907577,0.0,0.012
1684814283.8094847,0.0,0.012
1684814283.8298173,0.0,0.012
1684814283.8505354,0.0,0.012
1684814283.8694782,0.0,0.012
1684814283.8901246,0.0,0.012
1684814283.9099557,0.0,0.012
1684814283.9297023,0.0,0.012
1684814283.9495988,0.0,0.012
1684814283.9692569,0.0,0.012
1684814283.990436,0.0,0.012
1684814284.009825,0.0,0.012
1684814284.0304263,0.0,0.012
1684814284.0497293,0.0,0.012
1684814284.0703285,0.0,0.012
1684814284.0898952,0.0,0.012
1684814284.1096818,0.0,0.012
1684814284.130308,0.0,0.012
1684814284.1500678,0.0,0.012
1684814284.169108,0.0,0.012
1684814284.18981,0.0,0.012
1684814284.2096593,0.0,0.012
1684814284.2299218,0.0,0.012
1684814284.2508516,0.0,0.44
1684814284.2705991,0.0,0.44
1684814284.289681,0.0,0.44
1684814284.3102264,0.0,0.44
1684814284.3300397,0.0,0.44
1684814284.3502705,0.0,0.44
1684814284.370391,0.0,0.44
1684814284.3899367,0.0,0.44
1684814284.4097385,0.0,0.44
1684814284.4305341,0.0,0.44
1684814284.4491456,0.0,0.44
1684814284.469266,0.0,0.44
1684814284.4907725,0.0,0.44
1684814284.5099704,0.0,0.44
1684814284.5302107,0.0,0.44
1684814284.5498214,0.0,0.44
1684814284.5695896,0.0,0.44
1684814284.5898006,0.0,0.44
1684814284.6096857,0.0,0.44
1684814284.629607,0.0,0.44
1684814284.6503475,0.0,0.44
1684814284.6697953,0.0,0.44
1684814284.690131,0.0,0.44
1684814284.7100222,0.0,0.44
1684814284.7303715,0.0,0.44
1684814284.7494016,0.0,0.44
1684814284.7695193,0.0,0.44
1684814284.7899513,0.0,0.44
1684814284.8095682,0.0,0.44
1684814284.8295598,0.0,0.44
1684814284.8494956,0.0,0.44
1684814284.8702016,0.0,0.44
1684814284.8898437,0.0,0.44
1684814284.910294,0.0,0.44
1684814284.9297493,0.0,0.44
1684814284.9498038,0.0,0.44
1684814284.9699457,0.0,0.44
1684814284.9907808,0.0,0.44
1684814285.0102768,0.0,0.44
1684814285.0298755,0.0,0.44
1684814285.0496674,0.0,0.44
1684814285.0703418,0.0,0.44
1684814285.0897763,0.0,0.44
1684814285.1103275,0.0,0.44
1684814285.130226,0.0,0.44
1684814285.150306,0.0,0.44
1684814285.16988,0.0,0.44
1684814285.1898327,0.0,0.44
1684814285.2104397,0.0,0.44
1684814285.2298183,0.0,0.44
1684814285.2505753,0.0,0.44
1684814285.2704957,65.04923000000002,1.416
1684814285.2898927,65.04923000000002,1.416
1684814285.3099093,65.04923000000002,1.416
1684814285.329667,65.04923000000002,1.416
1684814285.3501174,65.04923000000002,1.416
1684814285.3711689,65.04923000000002,1.416
1684814285.3896494,65.04923000000002,1.416
1684814285.4101453,65.04923000000002,1.416
1684814285.4304152,65.04923000000002,1.416
1684814285.4496982,65.04923000000002,1.416
1684814285.4700477,65.04923000000002,1.416
1684814285.4903753,65.04923000000002,1.416
1684814285.5093365,65.04923000000002,1.416
1684814285.5310051,65.04923000000002,1.416
1684814285.5497618,65.04923000000002,1.416
1684814285.569677,65.04923000000002,1.416
1684814285.590007,65.04923000000002,1.416
1684814285.609477,65.04923000000002,1.416
1684814285.6299255,65.04923000000002,1.416
1684814285.6503015,65.04923000000002,1.416
1684814285.6694562,65.04923000000002,1.416
1684814285.690432,65.04923000000002,1.416
1684814285.709885,65.04923000000002,1.416
1684814285.7299693,65.04923000000002,1.416
1684814285.750507,65.04923000000002,1.416
1684814285.7691555,65.04923000000002,1.416
1684814285.7895844,65.04923000000002,1.416
1684814285.8099866,65.04923000000002,1.416
1684814285.8298373,65.04923000000002,1.416
1684814285.850699,65.04923000000002,1.416
1684814285.8701494,65.04923000000002,1.416
1684814285.8897393,65.04923000000002,1.416
1684814285.910239,65.04923000000002,1.416
1684814285.9302778,65.04923000000002,1.416
1684814285.95067,65.04923000000002,1.416
1684814285.969956,65.04923000000002,1.416
1684814285.9894247,65.04923000000002,1.416
1684814286.0103304,65.04923000000002,1.416
1684814286.0309346,65.04923000000002,1.416
1684814286.0500252,65.04923000000002,1.416
1684814286.0703893,65.04923000000002,1.416
1684814286.0897644,65.04923000000002,1.416
1684814286.1100533,65.04923000000002,1.416
1684814286.1304445,65.04923000000002,1.416
1684814286.1499822,65.04923000000002,1.416
1684814286.1700234,65.04923000000002,1.416
1684814286.1904926,65.04923000000002,1.416
1684814286.2099948,65.04923000000002,1.416
1684814286.2303436,65.04923000000002,1.416
1684814286.250256,64.16062999999997,2.085
1684814286.2700834,64.16062999999997,2.085
1684814286.2903218,64.16062999999997,2.085
1684814286.3106794,64.16062999999997,2.085
1684814286.3301294,64.16062999999997,2.085
1684814286.3504179,64.16062999999997,2.085
1684814286.370036,64.16062999999997,2.085
1684814286.3897645,64.16062999999997,2.085
1684814286.4104342,64.16062999999997,2.085
1684814286.4295564,64.16062999999997,2.085
1684814286.4506657,64.16062999999997,2.085
1684814286.4704235,64.16062999999997,2.085
1684814286.4901998,64.16062999999997,2.085
1684814286.510376,64.16062999999997,2.085
1684814286.5299146,64.16062999999997,2.085
1684814286.549283,64.16062999999997,2.085
1684814286.5700848,64.16062999999997,2.085
1684814286.5902183,64.16062999999997,2.085
1684814286.6104417,64.16062999999997,2.085
1684814286.6302252,64.16062999999997,2.085
1684814286.6495585,64.16062999999997,2.085
1684814286.6704512,64.16062999999997,2.085
1684814286.6902094,64.16062999999997,2.085
1684814286.7097974,64.16062999999997,2.085
1684814286.7304473,64.16062999999997,2.085
1684814286.749763,64.16062999999997,2.085
1684814286.770395,64.16062999999997,2.085
1684814286.7900684,64.16062999999997,2.085
1684814286.8094823,64.16062999999997,2.085
1684814286.8301907,64.16062999999997,2.085
1684814286.8502517,64.16062999999997,2.085
1684814286.8699586,64.16062999999997,2.085
1684814286.8903813,64.16062999999997,2.085
1684814286.9101286,64.16062999999997,2.085
1684814286.9298847,64.16062999999997,2.085
1684814286.950063,64.16062999999997,2.085
1684814286.9701505,64.16062999999997,2.085
1684814286.9898257,64.16062999999997,2.085
1684814287.0104208,64.16062999999997,2.085
1684814287.029371,64.16062999999997,2.085
1684814287.0498285,64.16062999999997,2.085
1684814287.069665,64.16062999999997,2.085
