time,heading,imu_heading,gps_heading,gspeed,gear
1684844482.5073967,152.86398995056413,152.86398995056413,0.0,0.0,0
1684844482.5278955,152.86398995056413,152.86398995056413,0.0,0.0,0
1684844482.547934,152.86398995056413,152.86398995056413,0.0,0.0,0
1684844482.5683281,152.86398995056413,152.86398995056413,0.0,0.0,0
1684844482.58849,152.8642647774396,152.8642647774396,0.0,0.0,0
1684844482.6081433,152.8642647774396,152.8642647774396,0.0,0.0,0
1684844482.6285532,152.8642647774396,152.8642647774396,0.0,0.0,0
1684844482.648544,152.86438151598512,152.86438151598512,0.0,0.0,0
1684844482.667849,152.8642647774396,152.8642647774396,0.0,0.0,0
1684844482.6876116,152.86438151598512,152.86438151598512,0.0,0.0,0
1684844482.708621,152.86414908310044,152.86414908310044,0.0,0.0,0
1684844482.728255,152.86403443299878,152.86403443299878,0.0,0.0,0
1684844482.7478566,152.86403443299878,152.86403443299878,0.0,0.0,0
1684844482.767939,152.86403443299878,152.86403443299878,0.0,0.0,0
1684844482.7880566,152.86419254668454,152.86419254668454,0.0,0.0,0
1684844482.8076556,152.86430821608977,152.86430821608977,0.0,0.0,0
1684844482.827623,152.86442492971824,152.86442492971824,0.0,0.0,0
1684844482.8480167,152.86442492971824,152.86442492971824,0.0,0.0,0
1684844482.8675134,152.86454268753872,152.86454268753872,0.0,0.0,0
1684844482.8875184,152.86454268753872,152.86454268753872,0.0,0.0,0
1684844482.907484,152.86438151598512,152.86438151598512,0.0,0.005,0
1684844482.9283593,152.8641046256198,152.8641046256198,0.0,0.005,0
1684844482.9482667,152.8641046256198,152.8641046256198,0.0,0.005,0
1684844482.9683747,152.8638308184809,152.8638308184809,0.0,0.005,0
1684844482.9884508,152.86398995056413,152.86398995056413,0.0,0.005,0
1684844483.0080926,152.86398995056413,152.86398995056413,0.0,0.005,0
1684844483.0280964,152.86414908310044,152.86414908310044,0.0,0.005,0
1684844483.0478756,152.86430821608977,152.86430821608977,0.0,0.005,0
1684844483.0679471,152.8644673495321,152.8644673495321,0.0,0.005,0
1684844483.0880978,152.86462648342751,152.86462648342751,0.0,0.005,0
1684844483.1079566,332.8646264834275,152.86462648342751,0.0,0.005,1
1684844483.1285594,332.8644673495321,152.8644673495321,0.0,0.005,1
1684844483.1485472,332.86430821608974,152.86430821608977,0.0,0.005,1
1684844483.1682508,332.86430821608974,152.86430821608977,0.0,0.005,1
1684844483.1884809,332.8642647774396,152.8642647774396,0.0,0.005,1
1684844483.2082705,332.8641490831004,152.86414908310044,0.0,0.005,1
1684844483.228601,332.8641046256198,152.8641046256198,0.0,0.005,1
1684844483.2484496,332.8641046256198,152.8641046256198,0.0,0.005,1
1684844483.2677143,332.8641046256198,152.8641046256198,0.0,0.005,1
1684844483.2878723,332.8641046256198,152.8641046256198,0.0,0.005,1
1684844483.3081775,332.8642647774396,152.8642647774396,0.0,0.005,1
1684844483.3285427,332.86430821608974,152.86430821608977,0.0,0.005,1
1684844483.348298,332.86430821608974,152.86430821608977,0.0,0.005,1
1684844483.3681533,332.8644673495321,152.8644673495321,0.0,0.005,1
1684844483.3882973,332.8646264834275,152.86462648342751,0.0,0.005,1
1684844483.408547,332.8646264834275,152.86462648342751,0.0,0.005,1
1684844483.4279346,332.8644673495321,152.8644673495321,0.0,0.005,1
1684844483.4483314,332.8644673495321,152.8644673495321,0.0,0.005,1
1684844483.4686065,332.8644249297182,152.86442492971824,0.0,0.005,1
1684844483.4880774,332.8642647774396,152.8642647774396,0.0,0.005,1
1684844483.5083861,332.8641046256198,152.8641046256198,0.0,0.005,1
1684844483.5286314,332.86422034489624,152.8642203448962,0.0,0.005,1
1684844483.548361,332.86422034489624,152.8642203448962,0.0,0.005,1
1684844483.568095,332.8644992987056,152.8644992987056,0.0,0.005,1
1684844483.58864,332.8644992987056,152.8644992987056,0.0,0.005,1
1684844483.6085668,332.8643815159851,152.86438151598512,0.0,0.005,1
1684844483.628266,332.8644249297182,152.86442492971824,0.0,0.005,1
1684844483.6481335,332.8644249297182,152.86442492971824,0.0,0.005,1
1684844483.6682994,332.8644673495321,152.8644673495321,0.0,0.005,1
1684844483.6885796,332.8644673495321,152.8644673495321,0.0,0.005,1
1684844483.708222,332.86435066081754,152.86435066081754,0.0,0.005,1
1684844483.7286332,332.86435066081754,152.86435066081754,0.0,0.005,1
1684844483.7484827,332.86435066081754,152.86435066081754,0.0,0.005,1
1684844483.7683492,332.8644673495321,152.8644673495321,0.0,0.005,1
1684844483.7881348,332.8546717789711,152.8546717789711,0.0,0.005,1
1684844483.8076646,332.85462946176557,152.85462946176557,0.0,0.005,1
1684844483.8282092,332.8645426875387,152.86454268753872,0.0,0.005,1
1684844483.848628,332.8643815159851,152.86438151598512,0.0,0.005,1
1684844483.8676887,332.85446831879875,152.85446831879875,0.0,0.005,1
1684844483.888156,332.85446831879875,152.85446831879875,0.0,0.005,1
1684844483.9083703,332.85435153076753,152.85435153076753,0.0,0.005,1
1684844483.928065,332.85435153076753,152.85435153076753,0.0,0.001,1
1684844483.9476194,332.85435153076753,152.85435153076753,0.0,0.001,1
