time,gps_heading,gspeed
1684813706.292389,0.0,0.004
1684813706.3120558,0.0,0.004
1684813706.3321795,0.0,0.004
1684813706.3521843,0.0,0.004
1684813706.3721344,0.0,0.004
1684813706.3925924,0.0,0.004
1684813706.4119577,0.0,0.004
1684813706.432144,0.0,0.004
1684813706.4523652,0.0,0.004
1684813706.471954,0.0,0.004
1684813706.4921715,0.0,0.004
1684813706.5122387,0.0,0.004
1684813706.531833,0.0,0.004
1684813706.5522566,0.0,0.004
1684813706.5723765,0.0,0.004
1684813706.592224,0.0,0.004
1684813706.612277,0.0,0.004
1684813706.6321537,0.0,0.004
1684813706.6521804,0.0,0.004
1684813706.6722727,0.0,0.004
1684813706.6920366,0.0,0.004
1684813706.712579,0.0,0.004
1684813706.732287,0.0,0.004
1684813706.751842,0.0,0.004
1684813706.7722645,0.0,0.004
1684813706.791798,0.0,0.004
1684813706.8116632,0.0,0.004
1684813706.8321567,0.0,0.004
1684813706.8519478,0.0,0.004
1684813706.8721364,0.0,0.004
1684813706.8933344,0.0,0.004
1684813706.9120207,0.0,0.004
1684813706.9325056,0.0,0.004
1684813706.9524436,0.0,0.002
1684813706.9721942,0.0,0.002
1684813706.992126,0.0,0.002
1684813707.012597,0.0,0.002
1684813707.0319986,0.0,0.002
1684813707.0521398,0.0,0.002
1684813707.0719323,0.0,0.002
1684813707.0924523,0.0,0.002
1684813707.1124754,0.0,0.002
1684813707.1320453,0.0,0.002
1684813707.1519845,0.0,0.002
1684813707.1728232,0.0,0.002
1684813707.1920328,0.0,0.002
1684813707.2123134,0.0,0.002
1684813707.2328017,0.0,0.002
1684813707.2519965,0.0,0.002
1684813707.2727628,0.0,0.002
1684813707.2922375,0.0,0.002
1684813707.3121521,0.0,0.002
1684813707.332197,0.0,0.002
1684813707.352254,0.0,0.002
1684813707.3719347,0.0,0.002
1684813707.3926783,0.0,0.002
1684813707.411974,0.0,0.002
1684813707.4319198,0.0,0.002
1684813707.4527695,0.0,0.002
1684813707.4717903,0.0,0.002
1684813707.4925358,0.0,0.002
1684813707.5122488,0.0,0.002
1684813707.532186,0.0,0.002
1684813707.552536,0.0,0.002
1684813707.5725968,0.0,0.002
1684813707.592129,0.0,0.002
1684813707.612801,0.0,0.002
1684813707.6322024,0.0,0.002
1684813707.6523595,0.0,0.002
1684813707.6726027,0.0,0.002
1684813707.6920083,0.0,0.002
1684813707.7126362,0.0,0.002
1684813707.7319562,0.0,0.002
1684813707.7517214,0.0,0.002
1684813707.772587,0.0,0.002
1684813707.7924373,0.0,0.002
1684813707.8121498,0.0,0.002
1684813707.8326883,0.0,0.002
1684813707.8522222,0.0,0.002
1684813707.8722203,0.0,0.002
1684813707.892282,0.0,0.002
1684813707.9120624,0.0,0.002
1684813707.9330156,0.0,0.002
