time,imu_heading,gspeed
1684816876.977738,145.6158967149722,0.005
1684816876.9980996,145.6158967149722,0.005
1684816877.017274,145.61554517065898,0.005
1684816877.0373726,145.61554517065898,0.005
1684816877.0570197,145.61570409825902,0.005
1684816877.077076,145.6158967149722,0.005
1684816877.0976174,145.6158967149722,0.005
1684816877.1175516,145.6158967149722,0.005
1684816877.138046,145.6158967149722,0.005
1684816877.158289,145.61570409825902,0.005
1684816877.1774452,145.61570409825902,0.005
1684816877.1974616,145.61570409825902,0.005
1684816877.2178354,145.61570409825902,0.005
1684816877.2375045,145.61570409825902,0.005
1684816877.2575138,145.61570409825902,0.005
1684816877.2770305,145.61570409825902,0.005
1684816877.2970169,145.61570409825902,0.005
1684816877.3172717,145.61551277401583,0.005
1684816877.3380766,145.61551277401583,0.005
1684816877.3577027,145.61551277401583,0.005
1684816877.3776684,145.61551277401583,0.005
1684816877.3973248,145.61551277401583,0.005
1684816877.4176917,145.61551277401583,0.005
1684816877.4381201,145.61551277401583,0.005
1684816877.457684,145.61551277401583,0.005
1684816877.4779425,145.61551277401583,0.005
1684816877.4976072,145.6153547918506,0.005
1684816877.5172791,145.6153547918506,0.005
1684816877.5371606,145.6153547918506,0.005
1684816877.5571418,145.61551277401583,0.005
1684816877.577183,145.61551277401583,0.005
1684816877.5979838,145.61551277401583,0.005
1684816877.618204,145.61551277401583,0.005
1684816877.6379821,145.61551277401583,0.002
1684816877.6580093,145.61551277401583,0.002
1684816877.6780784,145.61551277401583,0.002
1684816877.6979432,145.6153547918506,0.002
1684816877.7173676,145.6153547918506,0.002
1684816877.7375886,145.61516570556327,0.002
1684816877.757666,145.61551277401583,0.002
1684816877.7770004,145.61551277401583,0.002
1684816877.7970395,145.61551277401583,0.002
1684816877.8171642,145.61551277401583,0.002
1684816877.8379846,145.61551277401583,0.002
1684816877.8579803,145.61551277401583,0.002
1684816877.8780916,145.61551277401583,0.002
1684816877.8974745,145.61551277401583,0.002
1684816877.9179888,145.61551277401583,0.002
1684816877.937499,145.6153547918506,0.002
1684816877.9574926,145.6153547918506,0.002
1684816877.9780955,145.60632052844508,0.002
1684816877.9978645,145.60647847651504,0.002
1684816878.0172672,145.60632052844508,0.002
1684816878.0370386,145.60632052844508,0.002
1684816878.0571556,145.60647847651504,0.002
1684816878.077657,145.60647847651504,0.002
1684816878.098138,145.60647847651504,0.002
1684816878.1174538,145.60647847651504,0.002
1684816878.1380775,145.60647847651504,0.002
1684816878.1576648,145.60647847651504,0.002
1684816878.1773083,145.60647847651504,0.002
1684816878.197776,145.6062884128708,0.002
1684816878.2172244,145.6062884128708,0.002
1684816878.238297,145.6062884128708,0.002
1684816878.2580702,145.6062884128708,0.002
1684816878.2771435,145.6062884128708,0.002
1684816878.297102,145.6062884128708,0.002
1684816878.3172283,145.6062884128708,0.002
1684816878.3377416,145.60647847651504,0.002
1684816878.3580334,145.60647847651504,0.002
1684816878.3778853,145.60647847651504,0.002
1684816878.397914,145.60647847651504,0.002
1684816878.4179838,145.60647847651504,0.002
1684816878.4375668,145.60647847651504,0.002
1684816878.4580677,145.60647847651504,0.002
1684816878.478129,145.60647847651504,0.002
1684816878.4977293,145.60647847651504,0.002
1684816878.5170653,145.60647847651504,0.002
1684816878.5368304,145.60647847651504,0.002
1684816878.557087,145.60647847651504,0.002
1684816878.5774782,145.60647847651504,0.002
1684816878.59794,145.60647847651504,0.002
1684816878.617627,145.60647847651504,0.006
1684816878.6371076,145.60647847651504,0.006
1684816878.6571743,145.60647847651504,0.006
1684816878.6773698,145.60647847651504,0.006
1684816878.69705,145.60663642518116,0.006
1684816878.7169435,145.59744612888778,0.006
1684816878.737988,145.59744612888778,0.006
1684816878.7571657,145.59744612888778,0.006
1684816878.7770953,145.59744612888778,0.006
1684816878.7970576,145.59744612888778,0.006
1684816878.8171356,145.59760404346173,0.006
1684816878.8371744,145.59744612888778,0.006
1684816878.8580556,145.59744612888778,0.006
1684816878.8779721,145.59744612888778,0.006
1684816878.8978915,145.59744612888778,0.006
1684816878.9180923,145.59744612888778,0.006
1684816878.9376667,145.59728821490987,0.006
1684816878.9578836,145.59744612888778,0.006
1684816878.9776037,145.59728821490987,0.006
1684816878.9973612,145.5879031729319,0.006
1684816879.0172958,145.5879031729319,0.006
1684816879.03699,145.57019381819174,0.006
1684816879.0571425,145.57038798087157,0.006
1684816879.0777605,145.57019381819174,0.006
1684816879.0978417,145.57035359122375,0.006
1684816879.1176689,145.57035359122375,0.006
1684816879.138138,145.5705133648666,0.006
1684816879.157799,145.5705133648666,0.006
1684816879.1775455,145.57035359122375,0.006
1684816879.1975424,145.56113210915774,0.006
1684816879.2176027,145.56097331527576,0.006
1684816879.2373314,145.56097331527576,0.006
1684816879.257388,145.56097331527576,0.006
1684816879.2769208,145.56097331527576,0.006
1684816879.2968802,145.56097331527576,0.006
1684816879.3169172,145.56132595476038,0.006
1684816879.3377182,145.56132595476038,0.006
1684816879.3576343,145.56152109433881,0.006
1684816879.3773851,145.56132595476038,0.006
1684816879.3974104,145.56132595476038,0.006
1684816879.4173553,145.56132595476038,0.006
1684816879.4373217,145.56113210915774,0.006
1684816879.4574947,145.5609395575728,0.006
1684816879.4770849,145.5609395575728,0.006
1684816879.49754,145.5609395575728,0.006
1684816879.516963,145.56113210915774,0.006
1684816879.5367346,145.56132595476038,0.006
1684816879.5568655,145.56132595476038,0.006
1684816879.5773077,145.56132595476038,0.006
1684816879.597481,145.56132595476038,0.006
1684816879.6172202,145.56148569388853,0.006
1684816879.6381958,145.5427149280361,0.004
1684816879.6581137,145.5427149280361,0.004
1684816879.6782837,145.5427149280361,0.004
1684816879.697966,145.53349599474487,0.004
1684816879.7178495,145.53349599474487,0.004
1684816879.7380633,145.53349599474487,0.004
1684816879.7576659,145.53330325680417,0.004
1684816879.7769203,145.53346107530606,0.004
1684816879.7966797,145.53365475771216,0.004
1684816879.8169265,145.53365475771216,0.004
1684816879.8380833,145.53384973520815,0.004
1684816879.858148,145.53369002778487,0.004
1684816879.8776753,145.53369002778487,0.004
1684816879.8981223,145.53369002778487,0.004
1684816879.917385,145.53353032097272,0.004
1684816879.9376612,145.53369002778487,0.004
1684816879.9580874,145.53349599474487,0.004
1684816879.9774988,145.53349599474487,0.004
1684816879.99789,145.53349599474487,0.004
1684816880.0171075,145.53349599474487,0.004
1684816880.0370338,145.5333372323815,0.004
1684816880.0571496,145.53349599474487,0.004
1684816880.0773869,145.53349599474487,0.004
1684816880.0978022,145.5156460804762,0.004
1684816880.117948,145.5156460804762,0.004
1684816880.1377552,145.5156460804762,0.004
1684816880.158152,145.51548644272026,0.004
1684816880.1781535,145.51548644272026,0.004
1684816880.1975703,145.50589218978374,0.004
1684816880.2174044,145.50589218978374,0.004
1684816880.2380157,145.50589218978374,0.004
1684816880.2577522,145.50589218978374,0.004
1684816880.2771866,145.5060518648056,0.004
1684816880.2968006,145.4970666211446,0.004
1684816880.3170981,145.49742405043241,0.004
1684816880.338108,145.49690603724125,0.004
1684816880.3575742,145.4972625218716,0.004
1684816880.3775618,145.49687201668067,0.004
1684816880.398615,145.49687201668067,0.004
1684816880.4178789,145.49687201668067,0.004
1684816880.4380047,145.49683740493802,0.004
1684816880.457994,145.48801340127477,0.004
1684816880.477653,145.48801340127477,0.004
1684816880.498013,145.48820898168034,0.004
1684816880.5172017,145.48820898168034,0.004
1684816880.5370953,145.48820898168034,0.004
1684816880.557259,145.48801340127477,0.004
1684816880.577319,145.48820898168034,0.004
1684816880.5973206,145.48801340127477,0.004
1684816880.617661,145.48801340127477,0.005
1684816880.6375175,145.48801340127477,0.005
1684816880.6579275,145.48781911732186,0.005
1684816880.6777167,145.48801340127477,0.005
1684816880.6977398,145.48781911732186,0.005
1684816880.7180579,145.4876604552466,0.005
1684816880.737349,145.4876604552466,0.005
1684816880.7576406,145.4876604552466,0.005
1684816880.7770836,145.4876604552466,0.005
1684816880.7969847,145.48785379534573,0.005
1684816880.8171456,145.48785379534573,0.005
1684816880.8381045,145.48785379534573,0.005
1684816880.857687,145.48801340127477,0.005
1684816880.8779106,145.48801340127477,0.005
1684816880.8980293,145.48801340127477,0.005
1684816880.917566,145.48781911732186,0.005
1684816880.9380434,145.48781911732186,0.005
1684816880.9574025,145.4879777800013,0.005
1684816880.9777548,145.4879777800013,0.005
1684816880.9982183,145.4879777800013,0.005
1684816881.0173512,145.48813644328496,0.005
1684816881.0369987,145.4879777800013,0.005
1684816881.0569074,145.48781911732186,0.005
1684816881.0771623,145.48781911732186,0.005
1684816881.0979385,145.48746841165155,0.005
1684816881.117939,145.48746841165155,0.005
1684816881.1378016,145.48781911732186,0.005
1684816881.158067,145.48781911732186,0.005
1684816881.1775682,145.48801340127477,0.005
1684816881.1977768,145.48781911732186,0.005
1684816881.2181425,145.48817300781525,0.005
1684816881.2376149,145.48833261496713,0.005
1684816881.2585347,145.4879777800013,0.005
1684816881.2770047,145.48762612986357,0.005
1684816881.2970176,145.48762612986357,0.005
1684816881.3170178,145.47860976230822,0.005
1684816881.3380916,145.47860976230822,0.005
1684816881.3576868,145.47880278131836,0.005
1684816881.3778722,145.47880278131836,0.005
1684816881.3980854,145.47880278131836,0.005
1684816881.4179678,145.47880278131836,0.005
1684816881.4379032,145.47880278131836,0.005
1684816881.4572322,145.4786441535807,0.005
1684816881.4776928,145.47845207822985,0.005
1684816881.4979277,145.47845207822985,0.005
1684816881.517372,145.4786441535807,0.005
1684816881.5370038,145.47845207822985,0.005
1684816881.5570836,145.46900643335744,0.005
1684816881.577423,145.4688487125266,0.005
1684816881.5979338,145.46865781175043,0.005
1684816881.6175706,145.4688487125266,0.005
1684816881.637861,145.4688487125266,0.005
1684816881.6580722,145.4688487125266,0.005
1684816881.677402,145.4688487125266,0.005
1684816881.6975985,145.4688487125266,0.005
1684816881.7181225,145.46904091077235,0.005
1684816881.737304,145.46904091077235,0.005
1684816881.7579787,145.4688487125266,0.005
1684816881.7770405,145.4688487125266,0.005
1684816881.796831,145.45983317433115,0.005
1684816881.8172183,145.45983317433115,0.005
1684816881.8376088,145.45983317433115,0.005
1684816881.857505,145.45983317433115,0.005
1684816881.8779643,145.45983317433115,0.005
1684816881.8978724,145.45983317433115,0.005
1684816881.9175985,145.45983317433115,0.005
1684816881.9376159,145.45983317433115,0.005
1684816881.9573512,145.4510118502665,0.005
1684816881.9775405,145.45085325487548,0.005
1684816881.9973817,145.45085325487548,0.005
1684816882.0169573,145.45085325487548,0.005
1684816882.0372334,145.45085325487548,0.005
1684816882.0569596,145.45085325487548,0.005
1684816882.0774374,145.4510118502665,0.005
1684816882.098085,145.4510118502665,0.005
1684816882.1174014,145.44200024847942,0.005
1684816882.138085,145.44200024847942,0.005
1684816882.1581843,145.44200024847942,0.005
1684816882.1774073,145.44200024847942,0.005
1684816882.1984012,145.44215881012258,0.005
1684816882.21783,145.44215881012258,0.005
1684816882.237401,145.44200024847942,0.005
1684816882.258409,145.44200024847942,0.005
1684816882.2770479,145.44200024847942,0.005
1684816882.2971158,145.44180795514342,0.005
1684816882.317464,145.44180795514342,0.005
1684816882.3378525,145.44180795514342,0.005
1684816882.358041,145.44180795514342,0.005
1684816882.3780057,145.44180795514342,0.005
1684816882.397358,145.44180795514342,0.005
1684816882.4186933,145.44180795514342,0.005
1684816882.4376998,145.44180795514342,0.005
1684816882.4580994,145.44180795514342,0.005
1684816882.4786172,145.44180795514342,0.005
1684816882.4973524,145.44180795514342,0.005
1684816882.5173,145.44180795514342,0.005
1684816882.5370045,145.44161695974609,0.005
