time,x,y,gps_heading,gspeed
1684816122.6655974,0.0,0.0,0.0,0.0
1684816122.6856453,0.0,0.0,0.0,0.0
1684816122.7051747,0.0,0.0,0.0,0.0
1684816122.725661,0.0,0.0,0.0,0.0
1684816122.7453945,0.0,0.0,0.0,0.0
1684816122.7649503,0.0,0.0,0.0,0.0
1684816122.7847364,0.0,0.0,0.0,0.0
1684816122.804613,0.0,0.0,0.0,0.0
1684816122.8247433,0.0,0.0,0.0,0.0
1684816122.8445861,0.0,0.0,0.0,0.0
1684816122.8644848,0.0,0.0,0.0,0.0
1684816122.8846772,0.0,0.0,0.0,0.0
1684816122.9046304,0.0,0.0,0.0,0.0
1684816122.924677,0.0,0.0,0.0,0.0
1684816122.944416,0.0,0.0,0.0,0.0
1684816122.9646103,0.0,0.0,0.0,0.0
1684816122.9849694,0.0,0.0,0.0,0.0
1684816123.0058732,0.0,0.0,0.0,0.0
1684816123.0250478,0.0,0.0,0.0,0.0
1684816123.045161,0.0,0.0,0.0,0.0
1684816123.0642805,0.0,0.0,0.0,0.0
1684816123.0844247,0.0,0.0,0.0,0.0
1684816123.1043077,0.0,0.0,0.0,0.0
1684816123.1243305,0.0,0.0,0.0,0.0
1684816123.1444583,0.0,0.0,0.0,0.0
1684816123.1643543,0.0,0.0,0.0,0.0
1684816123.1846108,0.0,0.0,0.0,0.0
1684816123.20549,0.0,0.0,0.0,0.0
1684816123.2250829,0.0,0.0,0.0,0.0
1684816123.2455802,0.0,0.0,0.0,0.0
1684816123.2651448,0.0,0.0,0.0,0.0
1684816123.285608,0.0,0.0,0.0,0.0
1684816123.3053932,0.0,0.0,0.0,0.0
1684816123.325009,0.0,0.0,0.0,0.0
1684816123.3456473,0.0,0.0,0.0,0.0
1684816123.3659391,0.0,0.0,0.0,0.0
1684816123.386128,0.0,0.0,0.0,0.0
1684816123.406072,0.0,0.0,0.0,0.0
1684816123.4256847,0.0,0.0,0.0,0.0
1684816123.4455702,0.0,0.0,0.0,0.0
1684816123.465223,0.0,0.0,0.0,0.0
1684816123.4847608,0.0,0.0,0.0,0.0
1684816123.5048761,0.0,0.0,0.0,0.0
1684816123.5256097,0.0,0.0,0.0,0.0
1684816123.5449507,0.0,0.0,0.0,0.0
1684816123.5648704,0.0,0.0,0.0,0.0
1684816123.5846307,0.0,0.0,0.0,0.0
1684816123.6050766,0.0,0.0,0.0,0.0
1684816123.6248205,0.0,0.0,0.0,0.0
1684816123.6446564,0.0,0.0,0.0,0.0
1684816123.6649559,0.0,0.0,0.0,0.0
1684816123.6848152,0.0,0.0,0.0,0.0
1684816123.7050717,0.0,0.0,0.0,0.0
1684816123.7252204,0.0,0.0,0.0,0.0
1684816123.7448144,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816123.7644477,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816123.7854414,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816123.8046525,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816123.8249981,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816123.8456552,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816123.8648746,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816123.885737,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816123.9048872,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816123.9248893,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816123.9458537,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816123.9649358,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816123.9847653,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816124.0060012,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816124.0251803,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816124.0455668,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816124.0658686,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816124.085023,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816124.1056316,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816124.1248524,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816124.1448724,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816124.165607,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816124.1847634,7.6546888382853675,-1.077068181983612,0.0,0.281
1684816124.2050626,7.6546888382853675,-1.077068181983612,0.0,0.281
