time,heading,gspeed
1684827077.6353405,152.8642203448962,0.003
1684827077.6556902,152.8641046256198,0.003
1684827077.675695,152.8641046256198,0.003
1684827077.6956017,152.8641046256198,0.003
1684827077.715829,152.8641046256198,0.003
1684827077.7354834,152.8642203448962,0.003
1684827077.7558403,152.8642203448962,0.003
1684827077.776534,152.8642203448962,0.003
1684827077.795576,152.8642203448962,0.003
1684827077.8156278,152.8642203448962,0.003
1684827077.835696,152.8642203448962,0.003
1684827077.855235,152.8642203448962,0.003
1684827077.8753579,152.8641046256198,0.003
1684827077.895499,152.8641046256198,0.003
1684827077.915665,152.8641046256198,0.003
1684827077.9359055,152.8642203448962,0.003
1684827077.9551961,152.8642203448962,0.003
1684827077.9752657,152.8641046256198,0.003
1684827077.9959033,152.8641046256198,0.003
1684827078.015368,152.8642203448962,0.003
1684827078.035138,152.8642203448962,0.003
1684827078.0555828,152.8642203448962,0.003
1684827078.0751534,152.8642203448962,0.003
1684827078.0951164,152.8641046256198,0.003
1684827078.114948,152.8642203448962,0.003
1684827078.1352596,152.8642203448962,0.003
1684827078.1559002,152.8642203448962,0.003
1684827078.175697,152.8642203448962,0.003
1684827078.195727,152.8642203448962,0.003
1684827078.2156148,152.8642203448962,0.003
1684827078.2353432,152.8642203448962,0.003
1684827078.2556882,152.8642203448962,0.003
1684827078.275331,152.8642203448962,0.003
1684827078.2952914,152.8642203448962,0.003
1684827078.3149533,152.86438151598512,0.003
1684827078.334801,152.86438151598512,0.003
1684827078.3551114,152.8642203448962,0.003
1684827078.374874,152.8641046256198,0.003
1684827078.39526,152.8642203448962,0.003
1684827078.415293,152.8641046256198,0.003
1684827078.435266,152.8641046256198,0.003
1684827078.4556851,152.8641046256198,0.003
1684827078.47547,152.8642203448962,0.003
1684827078.4956388,152.8642203448962,0.003
1684827078.5147047,152.86438151598512,0.003
1684827078.5358436,152.8644992987056,0.003
1684827078.5548823,152.8642203448962,0.005
1684827078.5752208,152.8642203448962,0.005
1684827078.5954802,152.8642203448962,0.005
1684827078.614888,152.8642203448962,0.005
1684827078.6353996,152.86405917427197,0.005
1684827078.6551259,152.86405917427197,0.005
1684827078.6748292,152.86405917427197,0.005
1684827078.695377,152.86417491848906,0.005
1684827078.7154334,152.86417491848906,0.005
1684827078.735329,152.86417491848906,0.005
1684827078.7559483,152.864337108362,0.005
1684827078.7751637,152.86461812556948,0.005
1684827078.7957342,152.8644992987056,0.005
1684827078.815205,152.8644992987056,0.005
1684827078.8349802,152.86438151598512,0.005
1684827078.8554332,152.86438151598512,0.005
1684827078.8753545,152.8642647774396,0.005
1684827078.8954158,152.8641046256198,0.005
1684827078.9152255,152.8641046256198,0.005
1684827078.9353173,152.8641046256198,0.005
1684827078.9557405,152.8642203448962,0.005
1684827078.9759662,152.864337108362,0.005
1684827078.9951706,152.864337108362,0.005
1684827079.0157247,152.864337108362,0.005
1684827079.0353293,152.8644992987056,0.005
1684827079.055482,152.8644992987056,0.005
1684827079.075323,152.86438151598512,0.005
1684827079.095129,152.8641046256198,0.005
1684827079.1154132,152.8641046256198,0.005
1684827079.135363,152.86398995056413,0.005
1684827079.1548505,152.86398995056413,0.005
1684827079.17514,152.86398995056413,0.005
1684827079.1959052,152.86398995056413,0.005
1684827079.215169,152.8642647774396,0.005
1684827079.235768,152.8642647774396,0.005
1684827079.25591,152.8642647774396,0.005
1684827079.275201,152.86438151598512,0.005
1684827079.2953115,152.8642647774396,0.005
1684827079.3152616,152.86438151598512,0.005
1684827079.3356361,152.86414908310044,0.005
1684827079.3558261,152.86403443299878,0.005
1684827079.375232,152.86403443299878,0.005
1684827079.3957942,152.86403443299878,0.005
1684827079.4159372,152.86419254668454,0.005
1684827079.4351525,152.86430821608977,0.005
1684827079.4558516,152.86442492971824,0.005
1684827079.4759114,152.86442492971824,0.005
1684827079.495449,152.86454268753872,0.005
1684827079.5158167,152.86454268753872,0.005
1684827079.5359404,152.86438151598512,0.005
