time,gps_heading,gspeed
1684814573.4578862,0.0,0.0
1684814573.477239,0.0,0.0
1684814573.4974864,0.0,0.0
1684814573.5177462,0.0,0.0
1684814573.5376103,0.0,0.0
1684814573.5574577,0.0,0.0
1684814573.5780563,0.0,0.0
1684814573.5973787,0.0,0.0
1684814573.617837,0.0,0.003
1684814573.637742,0.0,0.003
1684814573.6579263,0.0,0.003
1684814573.6772332,0.0,0.003
1684814573.6983194,0.0,0.003
1684814573.7175004,0.0,0.003
1684814573.7380683,0.0,0.003
1684814573.7574818,0.0,0.003
1684814573.777803,0.0,0.003
1684814573.7981563,0.0,0.003
1684814573.817629,0.0,0.003
1684814573.8379996,0.0,0.003
1684814573.8577876,0.0,0.003
1684814573.8775284,0.0,0.003
1684814573.8981876,0.0,0.003
1684814573.9173281,0.0,0.003
1684814573.9374428,0.0,0.003
1684814573.9581332,0.0,0.003
1684814573.9777884,0.0,0.003
1684814573.9974458,0.0,0.003
1684814574.0181286,0.0,0.003
1684814574.0373194,0.0,0.003
1684814574.0576587,0.0,0.003
1684814574.077766,0.0,0.003
1684814574.097324,0.0,0.003
1684814574.118064,0.0,0.003
1684814574.137628,0.0,0.003
1684814574.1574502,0.0,0.003
1684814574.1780605,0.0,0.003
1684814574.1972847,0.0,0.003
1684814574.2179525,0.0,0.003
1684814574.2380865,0.0,0.003
1684814574.2575197,0.0,0.003
1684814574.2779284,0.0,0.003
1684814574.2970834,0.0,0.003
1684814574.3173482,0.0,0.003
1684814574.3371441,0.0,0.003
1684814574.3581653,0.0,0.003
1684814574.377863,0.0,0.003
1684814574.3980463,0.0,0.003
1684814574.4180694,0.0,0.003
1684814574.4372234,0.0,0.003
1684814574.4575398,0.0,0.003
1684814574.4771178,0.0,0.003
1684814574.4979274,0.0,0.003
1684814574.5174584,0.0,0.003
1684814574.5377433,0.0,0.003
1684814574.557411,0.0,0.003
1684814574.5777566,0.0,0.003
1684814574.598264,0.0,0.003
1684814574.618004,0.0,0.005
1684814574.6372008,0.0,0.005
1684814574.6580806,0.0,0.005
1684814574.6778944,0.0,0.005
1684814574.6974976,0.0,0.005
1684814574.718082,0.0,0.005
1684814574.7376063,0.0,0.005
1684814574.7575173,0.0,0.005
1684814574.7780578,0.0,0.005
1684814574.7973793,0.0,0.005
1684814574.8179557,0.0,0.005
1684814574.8380387,0.0,0.005
1684814574.857457,0.0,0.005
1684814574.877316,0.0,0.005
1684814574.897463,0.0,0.005
1684814574.9173446,0.0,0.005
1684814574.937842,0.0,0.005
1684814574.9575057,0.0,0.005
1684814574.9779084,0.0,0.005
1684814574.9977672,0.0,0.005
1684814575.0173619,0.0,0.005
1684814575.0379345,0.0,0.005
1684814575.0576608,0.0,0.005
1684814575.0774944,0.0,0.005
1684814575.0981236,0.0,0.005
1684814575.1174057,0.0,0.005
1684814575.137383,0.0,0.005
1684814575.1580524,0.0,0.005
1684814575.1773107,0.0,0.005
1684814575.1979413,0.0,0.005
1684814575.2179248,0.0,0.005
1684814575.2378757,0.0,0.005
1684814575.2580156,0.0,0.005
1684814575.277561,0.0,0.005
1684814575.2973979,0.0,0.005
1684814575.318077,0.0,0.005
1684814575.3373563,0.0,0.005
1684814575.3579257,0.0,0.005
1684814575.3779125,0.0,0.005
1684814575.3975394,0.0,0.005
1684814575.4179857,0.0,0.005
1684814575.437528,0.0,0.005
1684814575.4575837,0.0,0.005
1684814575.4778764,0.0,0.005
1684814575.4972553,0.0,0.005
1684814575.5173583,0.0,0.005
1684814575.5380862,0.0,0.005
1684814575.557638,0.0,0.005
1684814575.577941,0.0,0.005
1684814575.5979922,0.0,0.005
1684814575.6175442,0.0,0.005
1684814575.638161,0.0,0.005
1684814575.6576836,0.0,0.005
1684814575.6772456,0.0,0.005
1684814575.6976674,0.0,0.005
1684814575.7173896,0.0,0.005
1684814575.7372289,0.0,0.005
1684814575.7579842,0.0,0.005
1684814575.7772603,0.0,0.005
1684814575.7970862,0.0,0.005
1684814575.8177059,0.0,0.005
1684814575.837515,0.0,0.005
1684814575.8580737,0.0,0.005
1684814575.8773818,0.0,0.005
1684814575.8975298,0.0,0.005
1684814575.9181523,0.0,0.005
1684814575.9372032,0.0,0.005
1684814575.9581273,0.0,0.005
1684814575.9775867,0.0,0.005
1684814575.9976082,0.0,0.005
1684814576.0172873,0.0,0.005
1684814576.0373554,0.0,0.005
1684814576.0574653,0.0,0.005
1684814576.077434,0.0,0.005
1684814576.0974991,0.0,0.005
1684814576.1178389,0.0,0.005
1684814576.1386442,0.0,0.005
1684814576.1581857,0.0,0.005
1684814576.1772742,0.0,0.005
1684814576.1977344,0.0,0.005
1684814576.2172768,0.0,0.005
1684814576.238107,0.0,0.005
1684814576.2574072,0.0,0.005
1684814576.2780485,0.0,0.005
1684814576.2981348,0.0,0.005
1684814576.3174775,0.0,0.005
1684814576.3379064,0.0,0.005
1684814576.3577266,0.0,0.005
1684814576.3775475,0.0,0.005
1684814576.398023,0.0,0.005
1684814576.4175107,0.0,0.005
1684814576.4372604,0.0,0.005
1684814576.4581451,0.0,0.005
1684814576.4772546,0.0,0.005
1684814576.4980316,0.0,0.005
1684814576.5182114,0.0,0.005
1684814576.537471,0.0,0.005
1684814576.5579429,0.0,0.005
1684814576.5774474,0.0,0.005
1684814576.597507,0.0,0.005
1684814576.6174974,0.0,0.001
1684814576.6374214,0.0,0.001
1684814576.6580212,0.0,0.001
1684814576.6776097,0.0,0.001
1684814576.6973825,0.0,0.001
1684814576.7178736,0.0,0.001
1684814576.7376046,0.0,0.001
1684814576.7572773,0.0,0.001
1684814576.7780921,0.0,0.001
1684814576.7972746,0.0,0.001
1684814576.8172677,0.0,0.001
1684814576.8382847,0.0,0.001
1684814576.8573363,0.0,0.001
1684814576.8776968,0.0,0.001
1684814576.8980155,0.0,0.001
1684814576.9174514,0.0,0.001
1684814576.9381003,0.0,0.001
1684814576.9575596,0.0,0.001
1684814576.9773285,0.0,0.001
1684814576.9981525,0.0,0.001
1684814577.0174282,0.0,0.001
1684814577.0375357,0.0,0.001
1684814577.0580819,0.0,0.001
1684814577.0771503,0.0,0.001
1684814577.0979147,0.0,0.001
1684814577.1178012,0.0,0.001
1684814577.1375482,0.0,0.001
1684814577.1580722,0.0,0.001
1684814577.1775694,0.0,0.001
1684814577.1972034,0.0,0.001
1684814577.2179255,0.0,0.001
1684814577.2373097,0.0,0.001
1684814577.2579272,0.0,0.001
1684814577.2776866,0.0,0.001
1684814577.2973287,0.0,0.001
1684814577.317724,0.0,0.001
1684814577.3378575,0.0,0.001
1684814577.3575869,0.0,0.001
1684814577.3780205,0.0,0.001
1684814577.3973691,0.0,0.001
1684814577.417539,0.0,0.001
1684814577.4371643,0.0,0.001
1684814577.457161,0.0,0.001
1684814577.4778857,0.0,0.001
1684814577.4975073,0.0,0.001
