time,heading_from_position,gps_heading,imu_heading,heading_ekf,headAcc
1688814573.3835955,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.4032586,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.4232035,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.444464,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.4633174,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.4833598,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.504398,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.5230768,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.5444942,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.5631838,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.5837905,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.6038966,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.623398,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.6429777,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.6629107,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.6839051,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.7034607,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.7237108,47.69,9.888559999999984,255.94,33.89206667560342,156.0
1688814573.7430065,47.69,9.888559999999984,255.94,33.89206667560342,156.0
1688814573.7634144,47.69,9.888559999999984,255.94,33.89206667560342,156.0
1688814573.7834287,47.69,9.888559999999984,255.94,33.89206667560342,156.0
1688814573.8028922,47.69,9.888559999999984,255.94,33.89206667560342,156.0
1688814573.8238802,47.69,9.888559999999984,255.94,33.89206667560342,156.0
1688814573.8433516,47.69,9.888559999999984,255.94,33.89206667560342,156.0
1688814573.8634772,47.69,9.888559999999984,255.94,33.89206667560342,156.0
1688814573.8839078,47.69,9.888559999999984,255.94,33.89206667560342,156.0
1688814573.903112,47.69,9.888559999999984,255.94,33.89206667560342,156.0
1688814573.923206,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.9442043,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.9634247,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814573.983218,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.003991,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.0229135,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.0437448,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.0638309,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.0844104,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.1032484,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.1236033,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.1434085,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.1638107,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.1831875,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.2038922,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.2231417,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.2434354,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.2635067,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.2833126,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.303656,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.3231874,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.3433747,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.363289,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.3828723,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.4035473,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.4239757,47.69,9.888559999999984,255.94,33.89206667560342,167.0
1688814574.4432287,47.69,9.888559999999984,255.94,33.89206667560342,167.0
1688814574.4630551,47.69,9.888559999999984,255.94,33.89206667560342,167.0
1688814574.4832857,47.69,9.888559999999984,255.94,33.89206667560342,167.0
1688814574.5036843,47.69,9.888559999999984,255.94,33.89206667560342,167.0
1688814574.5235906,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.543109,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.5634072,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.5835302,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.60413,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.6235046,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.6435087,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.6633122,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.6843052,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.7035317,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.7231898,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.7434638,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.7634912,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.7831905,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.8036685,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.823219,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.8436232,47.69,9.888559999999984,255.94,33.89206667560342,180.0
1688814574.8635392,47.69,9.888559999999984,255.94,33.89206667560342,180.0
